ai_rmf_function,ai_rmf_category,nist_control,description,risk_level
Govern,Accountability,AC-1,AI governance requires clear access control policies,Medium
Govern,Transparency,AU-2,Audit trails for AI decision-making processes,High
Map,Context,CA-1,Understanding AI system context through security assessments,Medium
Map,Risk Identification,RA-1,Identifying AI-specific risks and vulnerabilities,High
Measure,Testing,CA-2,Regular testing and evaluation of AI systems,High
Measure,Monitoring,AU-6,Continuous monitoring of AI system behavior,Critical
Manage,Risk Response,IR-1,Incident response procedures for AI failures,High
Manage,Configuration,CM-1,Configuration management for AI models and data,Medium
Manage,Access Control,AC-3,Enforcing access controls for AI systems,Critical
Manage,Protection,SC-1,Protecting AI systems from adversarial attacks,Critical
