node_id,label,name,tactic,description
T1078,MITRETechnique,Valid Accounts,Initial Access,Use of legitimate credentials
T1098,MITRETechnique,Account Manipulation,Persistence,Manipulate accounts to maintain access
T1136,MITRETechnique,Create Account,Persistence,Create accounts for persistence
T1087,MITRETechnique,Account Discovery,Discovery,Attempt to get a listing of accounts
T1562,MITRETechnique,Impair Defenses,Defense Evasion,Impair security monitoring tools
T1070,MITRETechnique,Indicator Removal,Defense Evasion,Delete or modify artifacts
T1550,MITRETechnique,Use Alternate Authentication,Defense Evasion,Use alternate authentication material
T1018,MITRETechnique,Remote System Discovery,Discovery,Discover remote systems on a network
T1049,MITRETechnique,System Network Connections Discovery,Discovery,List network connections
T1195,MITRETechnique,Supply Chain Compromise,Initial Access,Manipulate products or delivery mechanisms
